"tamano_empresa","pooled_mean_income","pooled_raw_premium","income_2025","raw_premium_2025"
"Solo",5692.85800672403,0,6533.76513252572,0
"2-3",6445.24918922974,13.216405215395,7242.1972511715,10.842632146649
"4-5",7422.40662889902,30.3810251394319,8241.63106098941,26.1390774510974
"6-10",8391.12341677315,47.3973776767681,9662.91167231646,47.8919348388198
"11-19",9739.51697429719,71.0830827467243,11634.1517273551,78.0619825074392
"20-30",9985.27311911074,75.4000030795919,11200.5711070232,71.4259830257092
"31-50",10730.8041074598,88.4959030206847,12573.986897316,92.4462640189112
"51-100",11603.7698241608,103.830304751237,13216.7077347719,102.283177719044
"101+",14644.7903505546,157.248474022313,16859.3782222075,158.034653530472
