"anio","tamano_empresa","mean_income","solo_mean_income","raw_premium"
2008,"2-3",6271.05162586166,5431.46200074316,15.4578937494845
2008,"4-5",7244.14011142599,5431.46200074316,33.3736682763281
2008,"6-10",7501.84399646357,5431.46200074316,38.1183187038247
2008,"11-19",8693.04014006388,5431.46200074316,60.0497276584915
2008,"20-30",8923.24871155692,5431.46200074316,64.2881550185935
2008,"31-50",10579.6071601558,5431.46200074316,94.7837830534067
2008,"51-100",10758.5590951483,5431.46200074316,98.0785117096691
2008,"101+",13026.3954402843,5431.46200074316,139.832211631086
2009,"2-3",6081.16649680515,5169.9963671406,17.624192841909
2009,"4-5",7315.87515311845,5169.9963671406,41.5063886624097
2009,"6-10",7820.89860204436,5169.9963671406,51.274740766789
2009,"11-19",8951.02394445635,5169.9963671406,73.134047082647
2009,"20-30",9384.87793292695,5169.9963671406,81.5258129111123
2009,"31-50",9349.04116980715,5169.9963671406,80.8326448588565
2009,"51-100",10328.8558612251,5169.9963671406,99.7845864432919
2009,"101+",13246.4754343433,5169.9963671406,156.218273547252
2010,"2-3",6037.42593085849,5371.49278646371,12.3975433062656
2010,"4-5",6976.86264760751,5371.49278646371,29.8868475666459
2010,"6-10",7808.16819113234,5371.49278646371,45.3630955403888
2010,"11-19",8787.40405774345,5371.49278646371,63.5933325627452
2010,"20-30",9794.62454407663,5371.49278646371,82.3445536175588
2010,"31-50",10075.228041681,5371.49278646371,87.5684924509409
2010,"51-100",10513.0647877106,5371.49278646371,95.7196110214236
2010,"101+",13868.1204556149,5371.49278646371,158.180007065501
2011,"2-3",6430.56536381789,5402.11750759814,19.0378653328667
2011,"4-5",7317.91739074115,5402.11750759814,35.4638691299923
2011,"6-10",8096.13034608076,5402.11750759814,49.8695712319004
2011,"11-19",8688.21881320842,5402.11750759814,60.8298745998831
2011,"20-30",9520.9251977826,5402.11750759814,76.2443187211554
2011,"31-50",9767.06408854736,5402.11750759814,80.80065964522
2011,"51-100",11158.7759562046,5402.11750759814,106.562999425867
2011,"101+",13696.2631957197,5402.11750759814,153.535084648858
2012,"2-3",6394.67126783847,5521.69598874739,15.8099120427873
2012,"4-5",7417.09417046198,5521.69598874739,34.3263769967996
2012,"6-10",8484.54322490912,5521.69598874739,53.6582825675244
2012,"11-19",9136.40175906195,5521.69598874739,65.4636868397126
2012,"20-30",9229.74449519188,5521.69598874739,67.1541590482541
2012,"31-50",9872.89528975227,5521.69598874739,78.8018628673537
2012,"51-100",9851.21569413311,5521.69598874739,78.4092372019178
2012,"101+",13661.8242919209,5521.69598874739,147.420798243188
2013,"2-3",6516.06221645227,5798.04930691225,12.3836978875641
2013,"4-5",7403.19773488054,5798.04930691225,27.6842838513752
2013,"6-10",8556.63971817047,5798.04930691225,47.5779053477435
2013,"11-19",9497.22235082405,5798.04930691225,63.8003033106627
2013,"20-30",10050.4740740171,5798.04930691225,73.3423353615717
2013,"31-50",10279.3411518481,5798.04930691225,77.2896470472135
2013,"51-100",11233.4546661986,5798.04930691225,93.7454145622118
2013,"101+",14313.5998058802,5798.04930691225,146.869232188419
2014,"2-3",6435.87121747121,5772.69678163361,11.48812177261
2014,"4-5",7828.58804724756,5772.69678163361,35.6140525543447
2014,"6-10",8377.05843314154,5772.69678163361,45.1151645413624
2014,"11-19",9640.575280774,5772.69678163361,67.0029735746111
2014,"20-30",11275.7095772873,5772.69678163361,95.3282842286473
2014,"31-50",10525.569178735,5772.69678163361,82.333657506888
2014,"51-100",11667.3568044099,5772.69678163361,102.112760218599
2014,"101+",14471.1379224662,5772.69678163361,150.682453450656
2015,"2-3",6351.78913363124,5550.03296041366,14.4459713831649
2015,"4-5",7453.36147022758,5550.03296041366,34.2940037183501
2015,"6-10",8095.58367668665,5550.03296041366,45.8655062849079
2015,"11-19",8576.84393935758,5550.03296041366,54.5368108718099
2015,"20-30",8907.96161522372,5550.03296041366,60.5028596904004
2015,"31-50",9624.79236970317,5550.03296041366,73.4186524359993
2015,"51-100",11049.1159856139,5550.03296041366,99.0819886012058
2015,"101+",13290.0124407441,5550.03296041366,139.458261519109
2016,"2-3",6389.51820483615,5419.74268750042,17.893386702146
2016,"4-5",7106.42975022481,5419.74268750042,31.1211649699608
2016,"6-10",7630.79216515757,5419.74268750042,40.7962075903807
2016,"11-19",9205.14473984573,5419.74268750042,69.8446821299396
2016,"20-30",9573.98102917886,5419.74268750042,76.6501028039464
2016,"31-50",9681.51755943312,5419.74268750042,78.6342658252329
2016,"51-100",10771.9344707159,5419.74268750042,98.7536141809699
2016,"101+",13354.1911600582,5419.74268750042,146.398988477018
2017,"2-3",6395.94475168489,5488.42866125369,16.5350803744237
2017,"4-5",7454.89108302818,5488.42866125369,35.8292426329053
2017,"6-10",8042.00592218595,5488.42866125369,46.5265637678703
2017,"11-19",8673.4567269834,5488.42866125369,58.0316928999161
2017,"20-30",9200.31761198758,5488.42866125369,67.6311778804466
2017,"31-50",9999.371449837,5488.42866125369,82.1900596144928
2017,"51-100",9929.33051656832,5488.42866125369,80.9139032208943
2017,"101+",13501.465466196,5488.42866125369,145.998742071869
2018,"2-3",6231.2324661271,5590.12728337647,11.4685256748466
2018,"4-5",7181.77977390927,5590.12728337647,28.4725626063283
2018,"6-10",7771.47097143137,5590.12728337647,39.0213599347126
2018,"11-19",9348.71058754347,5590.12728337647,67.2360952378315
2018,"20-30",9257.0782229134,5590.12728337647,65.5969131586943
2018,"31-50",10525.2031226988,5590.12728337647,88.2819941148374
2018,"51-100",10927.2689012931,5590.12728337647,95.4744203014465
2018,"101+",13879.9173163918,5590.12728337647,148.293403938529
2019,"2-3",6264.24452770146,5523.37144809459,13.4134212512984
2019,"4-5",7266.54836791308,5523.37144809459,31.5600161278279
2019,"6-10",8073.92711027674,5523.37144809459,46.1775146964273
2019,"11-19",9689.42108857633,5523.37144809459,75.4258459644048
2019,"20-30",9682.16124127763,5523.37144809459,75.2944072703586
2019,"31-50",10801.9877500665,5523.37144809459,95.5687364425381
2019,"51-100",11198.8478044293,5523.37144809459,102.753841737234
2019,"101+",14257.9898758473,5523.37144809459,158.13925443609
2021,"2-3",6869.79838737283,6038.72716960666,13.7623574376569
2021,"4-5",7377.58191764146,6038.72716960666,22.1711415407763
2021,"6-10",9209.09462299469,6038.72716960666,52.5005910077327
2021,"11-19",10502.4091958529,6038.72716960666,73.9175972167157
2021,"20-30",10821.8869599756,6038.72716960666,79.2080790541912
2021,"31-50",11868.562628394,6038.72716960666,96.5407989970018
2021,"51-100",13060.9067204599,6038.72716960666,116.285756147361
2021,"101+",16042.5119047541,6038.72716960666,165.660485300564
2022,"2-3",6268.41587089355,5695.48667646121,10.0593544850205
2022,"4-5",7331.49558424714,5695.48667646121,28.724655165069
2022,"6-10",8524.43005423619,5695.48667646121,49.6699147671907
2022,"11-19",10209.5098510375,5695.48667646121,79.2561449266878
2022,"20-30",10014.7347618125,5695.48667646121,75.8363302507975
2022,"31-50",10949.8597683513,5695.48667646121,92.255032631466
2022,"51-100",11919.8326587062,5695.48667646121,109.285585865199
2022,"101+",15560.8176002268,5695.48667646121,173.213133208402
2023,"2-3",6504.70052982952,5776.68913341437,12.6025718123567
2023,"4-5",7309.54969414382,5776.68913341437,26.5352786921294
2023,"6-10",8972.30427546785,5776.68913341437,55.3191468027757
2023,"11-19",10778.2972383851,5776.68913341437,86.5826079516667
2023,"20-30",10401.7637387768,5776.68913341437,80.0644538514186
2023,"31-50",11146.4230813086,5776.68913341437,92.9552174935963
2023,"51-100",12305.2443675422,5776.68913341437,113.015519501723
2023,"101+",15815.8652138248,5776.68913341437,173.787715567735
2024,"2-3",6853.14715156781,6209.751182821,10.3610587575029
2024,"4-5",7645.11586231921,6209.751182821,23.1146890952586
2024,"6-10",8851.19849564275,6209.751182821,42.5370878003808
2024,"11-19",10800.1384835125,6209.751182821,73.922242060046
2024,"20-30",10555.7754486191,6209.751182821,69.9870918793203
2024,"31-50",11757.3168673245,6209.751182821,89.3363602047463
2024,"51-100",12774.0489737872,6209.751182821,105.709513919432
2024,"101+",16620.0109906863,6209.751182821,167.643750955189
2025,"2-3",7242.1972511715,6533.76513252572,10.842632146649
2025,"4-5",8241.63106098941,6533.76513252572,26.1390774510974
2025,"6-10",9662.91167231646,6533.76513252572,47.8919348388198
2025,"11-19",11634.1517273551,6533.76513252572,78.0619825074392
2025,"20-30",11200.5711070232,6533.76513252572,71.4259830257092
2025,"31-50",12573.986897316,6533.76513252572,92.4462640189112
2025,"51-100",13216.7077347719,6533.76513252572,102.283177719044
2025,"101+",16859.3782222075,6533.76513252572,158.034653530472
