"firm_size","mean_2008","mean_2025","change_percent"
"All firm sizes",7803.44225661811,10294.8298594382,31.9267769388197
"Solo",5431.46200074316,6533.76513252572,20.2947775687603
"2-3",6271.05162586166,7242.1972511715,15.4861685607061
"4-5",7244.14011142599,8241.63106098941,13.7696253001802
"6-10",7501.84399646357,9662.91167231646,28.8071529729442
"11-19",8693.04014006388,11634.1517273551,33.8329461259064
"20-30",8923.24871155692,11200.5711070232,25.521225162276
"31-50",10579.6071601558,12573.986897316,18.851170057347
"51-100",10758.5590951483,13216.7077347719,22.8483072675802
"101+",13026.3954402843,16859.3782222075,29.4247384051434
