"ANIO","establecimientos_unicos","valor_agregado_total","personal_total","productividad_laboral"
2002,6867,32749357176,531179,61654.0886895002
2003,7220,37074151414,545967,67905.4803935036
2004,7243,42647381502,583162,73131.27656123
2005,7524,46498379287,600010,77496.0072115465
2006,7369,55446216808,625285,88673.5117714322
2007,7262,61597668487,650610,94676.7932970597
2008,7934,65005417432,668844,97190.701317497
2009,9128,64653684891,655655,98609.3065575646
2010,9942,67519561565,680011,99291.8666977446
2011,9802,73641704787,696279,105764.650071308
2012,9289,73632588089,683710,107695.643019701
2013,9458,78356603827,695962,112587.474354922
2014,9221,77936233059,703052,110854.151697172
2015,8979,85410678123,709987,120298.932407213
2016,7324,67581978550,608205,111117.104512459
2017,7164,67777079436,609783,111149.506358819
2018,7902,94347105907,709021,133066.729909269
2019,7619,96310642785,705346,136543.827830597
2021,7129,116943784345,681246,171661.608794767
2022,6765,149180150437,710060,210095.133421119
2023,6703,148794311857,718730,207023.933684416
2024,6560,148184904531,729717,203071.744979218
